algorithm: jDE; function: TB_1; dimensions: 20; runtimes: 30; minimum: 100.0; maximum: 100.0; mean: 100.0; median: 100.0; stdev: 0.0; values: [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
algorithm: jDE; function: TB_2; dimensions: 20; runtimes: 30; minimum: 1100.3867951153425; maximum: 1237.936917129684; mean: 1117.454102236977; median: 1111.371230809481; stdev: 24.994548817801295; values: [1115.057719130029, 1113.618608553068, 1120.0575210212064, 1109.335172124589, 1107.622544938531, 1118.4748868545412, 1110.912727103212, 1106.8614204499117, 1113.4750849633656, 1102.019832576405, 1113.4126280476885, 1116.796495585886, 1109.361062029111, 1103.4463244538747, 1137.2007812017873, 1101.9573756607278, 1237.936917129684, 1109.3613213943881, 1152.9835551320903, 1107.6850018542082, 1111.7985060579103, 1109.2364075630321, 1110.9439555610516, 1100.3867951153425, 1119.3276249904266, 1105.1538724518941, 1117.7796196207182, 1116.143741938271, 1108.5727533939862, 1116.7028102123713]
algorithm: jDE; function: TB_3; dimensions: 20; runtimes: 30; minimum: 720.3872153500624; maximum: 723.2992523240356; mean: 721.7257773540828; median: 721.8003006661256; stdev: 0.7555688652149698; values: [721.8494464124565, 722.4328342876578, 720.8002447907955, 722.3172414175154, 721.401885911928, 721.8997323235698, 722.2480598117858, 721.7511549197949, 723.0267052378895, 722.4033229027551, 720.6775828619118, 721.6070628214665, 722.6239181803644, 720.7713341169276, 722.2278698693851, 722.6798411927377, 720.3872153500624, 721.1922103061651, 721.3996892059574, 722.3001207059934, 721.9457325259309, 721.2539479373014, 721.0804223583553, 721.9050533055382, 721.181733721717, 720.6595032686554, 721.1038486303024, 721.0617016287771, 722.2846522947509, 723.2992523240356]
algorithm: jDE; function: TB_4; dimensions: 20; runtimes: 30; minimum: 1900.462353024393; maximum: 1901.3468059259544; mean: 1900.714857735276; median: 1900.663783730215; stdev: 0.18625209804010243; values: [1900.8856132052638, 1900.6579967722282, 1900.617133076178, 1900.507942063547, 1901.0119823799512, 1900.6695706882022, 1901.0040206396009, 1900.7203749959083, 1900.687779613614, 1900.8305229417183, 1900.6426952282511, 1900.542745656817, 1900.6299172279998, 1900.56747914409, 1900.462353024393, 1900.6291597726365, 1901.3468059259544, 1900.8354010628598, 1900.5544180272793, 1900.5689518089716, 1900.872791860538, 1900.572975176862, 1900.864378233361, 1900.6283212299488, 1900.8077356385384, 1900.688726326789, 1900.7840378353442, 1900.647220411394, 1900.7005831941988, 1900.5060988958357]
algorithm: jDE; function: TB_5; dimensions: 20; runtimes: 30; minimum: 1731.1677132002224; maximum: 2375.583354502331; mean: 1981.3226442262714; median: 1956.7896674590795; stdev: 165.58968857160966; values: [1731.1677132002224, 2210.517189560121, 1904.3808948549456, 2167.931973887815, 2178.1526927453024, 1929.8997634835093, 1830.7492389106005, 1745.0871613426707, 1842.011648008618, 2222.9134619066344, 2101.053775285598, 1831.7067684816582, 2166.2261066551573, 1977.3155813887583, 1833.5926013594544, 2071.798278080913, 2375.583354502331, 1877.9213054268764, 1998.069280893295, 1854.2978367390128, 1867.7738124933396, 1955.9112625628795, 1820.636423201405, 1840.8085184787444, 1962.865473068336, 2022.0914662383125, 1853.1205825534246, 2053.4186268316103, 2255.0084622913164, 1957.6680723552795]
algorithm: jDE; function: TB_6; dimensions: 20; runtimes: 30; minimum: 1600.1480825570463; maximum: 1620.0196816851308; mean: 1603.981375994867; median: 1603.6025043185123; stdev: 4.377350904173205; values: [1600.4668219688588, 1611.7913442089023, 1600.492469802859, 1606.1778997922618, 1606.3047984202963, 1606.2171788450764, 1605.9198344559097, 1600.1480825570463, 1600.4538281411983, 1606.1256813936757, 1600.4752310803062, 1606.0936152763693, 1600.8609370918289, 1606.0758579716933, 1600.4991955441249, 1605.9555338559182, 1606.1836326823359, 1600.570276511386, 1606.3934346333351, 1600.331337012846, 1600.7053327423148, 1600.3537020889548, 1601.390093361886, 1600.6776783415871, 1606.024520853485, 1605.8149152751384, 1600.4858045795693, 1620.0196816851308, 1600.2805808410362, 1606.1519788306805]
algorithm: jDE; function: TB_7; dimensions: 20; runtimes: 30; minimum: 2100.6065156157747; maximum: 2644.936868593535; mean: 2234.421651126558; median: 2236.5029885773456; stdev: 106.39744830842352; values: [2116.8850296363835, 2290.704662627608, 2187.8047628948125, 2254.76555385801, 2644.936868593535, 2138.094906350883, 2108.870955403328, 2236.644489321849, 2333.795430206236, 2253.105376597609, 2108.836943948767, 2227.295490390989, 2248.1278491379117, 2343.750172873924, 2266.427364138567, 2278.034814669132, 2236.3614878328417, 2191.9291279789254, 2100.6065156157747, 2227.617009778286, 2174.24152229238, 2138.1377352866994, 2236.664441393894, 2239.4232839849738, 2338.2959884818774, 2228.5758040736364, 2349.6471066976987, 2146.2034075476804, 2248.7106360860607, 2138.1547960964676]
algorithm: jDE; function: TB_8; dimensions: 20; runtimes: 30; minimum: 2300.0; maximum: 3330.246089004048; mean: 2334.341536300135; median: 2300.0; stdev: 188.09634090966404; values: [2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 3330.246089004048, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0]
algorithm: jDE; function: TB_9; dimensions: 20; runtimes: 30; minimum: 2807.9597829594204; maximum: 2826.501374125335; mean: 2817.755728703941; median: 2818.2987873816255; stdev: 4.17531196245638; values: [2815.2325352808098, 2818.23894384844, 2816.6956362025962, 2816.089536618055, 2826.501374125335, 2813.1611218462167, 2820.0190597828655, 2818.358630914811, 2820.6492781618144, 2816.661531265163, 2818.404367654311, 2824.300669275682, 2815.5809848423683, 2811.2601112978846, 2818.430760787408, 2820.9244784735274, 2820.2431445957172, 2819.2618168671465, 2815.5297723117446, 2812.1844985664115, 2822.4745007504334, 2816.450008340626, 2814.442586417296, 2824.2449419642303, 2814.5910984316306, 2812.7658774017345, 2822.140228738169, 2819.3846416975766, 2807.9597829594204, 2820.4899416988064]
algorithm: jDE; function: TB_10; dimensions: 20; runtimes: 30; minimum: 2913.6573397663487; maximum: 2959.434025487353; mean: 2915.1986558695185; median: 2913.6740864698213; stdev: 8.35474074560888; values: [2913.6904436386167, 2913.6755636937078, 2913.721335187849, 2913.6755636937078, 2913.6584387446483, 2913.6755636937073, 2913.6573397663487, 2913.6584387446483, 2913.6745231176974, 2913.6736498219457, 2913.6747754804633, 2959.434025487353, 2913.6747754804633, 2913.6904436386167, 2913.6722954586003, 2913.6584387446483, 2913.6584387446483, 2913.6697386430687, 2913.6573397663487, 2913.671867937768, 2913.6935462682327, 2913.6584387446483, 2913.6904436386167, 2913.6800074366065, 2913.691805334071, 2913.6573397663487, 2913.6767660575356, 2913.6573397663487, 2913.6736498219457, 2913.6573397663487]
algorithm: T3A-SOMA; function: TB_1; dimensions: 20; runtimes: 30; minimum: 100.0; maximum: 100.0; mean: 100.0; median: 100.0; stdev: 0.0; values: [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
