algorithm: HillClimbing; function: TB_1; runtimes: 30; minimum: 44021207.79549399; maximum: 150259055.5162303; mean: 101760860.18070774; median: 105567042.01802462; stdev: 31114240.6633009
algorithm: HillClimbing; function: TB_2; runtimes: 30; minimum: 1476.620190766375; maximum: 2566.55345119596; mean: 2031.438779871755; median: 1999.840127293821; stdev: 202.40360858654236
algorithm: HillClimbing; function: TB_3; runtimes: 30; minimum: 739.0952334033884; maximum: 763.7676911227716; mean: 752.2139379751983; median: 751.0143413944256; stdev: 6.241775408104612
algorithm: HillClimbing; function: TB_4; runtimes: 30; minimum: 1902.866584079727; maximum: 1905.4916909751055; mean: 1904.1790983691114; median: 1904.3086363878383; stdev: 0.7361458448449295
algorithm: HillClimbing; function: TB_5; runtimes: 30; minimum: 3294.1253591304458; maximum: 7000.265040168338; mean: 4609.527605450064; median: 4362.569286684735; stdev: 834.3859693980397
algorithm: HillClimbing; function: TB_6; runtimes: 30; minimum: 1605.9313279071816; maximum: 1923.0246430696648; mean: 1725.1604528412931; median: 1734.3618388260002; stdev: 100.11331338686983
algorithm: HillClimbing; function: TB_7; runtimes: 30; minimum: 2398.475157093305; maximum: 3642.273824318065; mean: 2990.6160212886275; median: 3047.0250761013604; stdev: 335.9414345796534
algorithm: HillClimbing; function: TB_8; runtimes: 30; minimum: 2252.108718057164; maximum: 3521.8169112634964; mean: 2570.8886143760274; median: 2324.28334928383; stdev: 431.28151603883674
algorithm: HillClimbing; function: TB_9; runtimes: 30; minimum: 2532.408455303671; maximum: 2759.011229042935; mean: 2732.23386605122; median: 2750.0217576328096; stdev: 58.306790713359206
algorithm: HillClimbing; function: TB_10; runtimes: 30; minimum: 2905.97724856089; maximum: 2953.1683029737133; mean: 2915.5661881941696; median: 2912.5658485800795; stdev: 11.040933920634718
algorithm: SimulatedAnnealing, mpp = 1F:TB_1; function: TB_1; runtimes: 30; minimum: 104438.95091708213; maximum: 223463.90220608213; mean: 154416.8323704755; median: 156904.3295725637; stdev: 31456.451589066473
algorithm: SimulatedAnnealing, mpp = 1F:TB_2; function: TB_2; runtimes: 30; minimum: 1122.968962725904; maximum: 1628.963190559935; mean: 1353.3823830010633; median: 1369.9988970607926; stdev: 150.18305894751546
algorithm: SimulatedAnnealing, mpp = 1F:TB_3; function: TB_3; runtimes: 30; minimum: 709.6843755403964; maximum: 735.1539308411118; mean: 724.2861477236042; median: 725.3294813910509; stdev: 6.358211892710815
algorithm: SimulatedAnnealing, mpp = 1F:TB_4; function: TB_4; runtimes: 30; minimum: 1907.5510676223992; maximum: 1926.074677867268; mean: 1915.7240942788228; median: 1915.2505652690656; stdev: 4.540796025062749
algorithm: SimulatedAnnealing, mpp = 1F:TB_5; function: TB_5; runtimes: 30; minimum: 2205.0244839541497; maximum: 3571.328613390269; mean: 2958.26743088778; median: 2982.6910580831645; stdev: 308.22895719108755
algorithm: SimulatedAnnealing, mpp = 1F:TB_6; function: TB_6; runtimes: 30; minimum: 1603.6631936543852; maximum: 1648.7837760643083; mean: 1619.561941621587; median: 1618.5404715168313; stdev: 12.338403054811797
algorithm: SimulatedAnnealing, mpp = 1F:TB_7; function: TB_7; runtimes: 30; minimum: 2525.5008549100676; maximum: 3590.666808141532; mean: 2778.4368649732687; median: 2697.2780763751034; stdev: 223.32002718065257
algorithm: SimulatedAnnealing, mpp = 1F:TB_8; function: TB_8; runtimes: 30; minimum: 2243.565664548767; maximum: 2325.646135840904; mean: 2311.840945400959; median: 2318.432061306119; stdev: 17.829131623289577
algorithm: SimulatedAnnealing, mpp = 1F:TB_9; function: TB_9; runtimes: 30; minimum: 2519.02717498081; maximum: 2609.5299409066197; mean: 2560.18892548158; median: 2563.4524186960866; stdev: 25.62826360450867
algorithm: SimulatedAnnealing, mpp = 1F:TB_10; function: TB_10; runtimes: 30; minimum: 2868.9335265305776; maximum: 2942.8373238235276; mean: 2923.2568667301525; median: 2924.833043320854; stdev: 16.6273901786984
algorithm: SimulatedAnnealing, mpp = 1F:TB_1; function: TB_1; runtimes: 30; minimum: 1067.6536656908197; maximum: 20345.2446613907; mean: 7962.22484076239; median: 6271.2098408245165; stdev: 4677.870424907901
algorithm: SimulatedAnnealing, mpp = 1F:TB_2; function: TB_2; runtimes: 30; minimum: 1100.4771073563315; maximum: 1550.4749642906982; mean: 1328.1792756165119; median: 1338.433849241897; stdev: 133.9976093356741
algorithm: SimulatedAnnealing, mpp = 1F:TB_3; function: TB_3; runtimes: 30; minimum: 702.9963558539795; maximum: 721.9734101037366; mean: 711.9945663479591; median: 712.7587310740762; stdev: 4.692533475792084
algorithm: SimulatedAnnealing, mpp = 1F:TB_4; function: TB_4; runtimes: 30; minimum: 1901.0640426316515; maximum: 1905.4950837546728; mean: 1902.8128786835637; median: 1902.7850013013085; stdev: 1.0932187903093382
algorithm: SimulatedAnnealing, mpp = 1F:TB_5; function: TB_5; runtimes: 30; minimum: 1720.1981721902864; maximum: 3121.737858471345; mean: 1985.9104299151657; median: 1924.1269583625492; stdev: 273.34745109374944
algorithm: SimulatedAnnealing, mpp = 1F:TB_6; function: TB_6; runtimes: 30; minimum: 0; maximum: 0; mean: 0; median: 0.0; stdev: 0.0
algorithm: SimulatedAnnealing, mpp = 1F:TB_7; function: TB_7; runtimes: 30; minimum: 0; maximum: 0; mean: 0; median: 0.0; stdev: 0.0
algorithm: SimulatedAnnealing, mpp = 1F:TB_8; function: TB_8; runtimes: 30; minimum: 2201.848588249777; maximum: 2237.791486836603; mean: 2215.293255697549; median: 2214.159003746085; stdev: 8.315047799754947
algorithm: SimulatedAnnealing, mpp = 1F:TB_9; function: TB_9; runtimes: 30; minimum: 2482.9666744787814; maximum: 2559.24299190622; mean: 2511.3377368433366; median: 2508.3739372319624; stdev: 15.631220547104935
algorithm: SimulatedAnnealing, mpp = 1F:TB_10; function: TB_10; runtimes: 30; minimum: 2724.0377093408015; maximum: 2851.8363648791274; mean: 2832.9439338070883; median: 2846.4239202097315; stdev: 28.550556076848157
